Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/auth/login [wrong password],6914,6914,2,3.806838381978567,1.488542000004145,942.1676080000054,116.9457622215794,157.01439906711215,157.01439906711215,2,3,3,4,5,6,8,11,110,940,940
,Aggregated,6914,6914,2,3.806838381978567,1.488542000004145,942.1676080000054,116.9457622215794,157.01439906711215,157.01439906711215,2,3,3,4,5,6,8,11,110,940,940
